x,y,Speedup
1,1,16<= speedup <30
2,1,30<= speedup <60
3,1,30<= speedup <60
4,1,60<= speedup < 90
5,1,60<= speedup < 90
6,1,60<= speedup < 90
7,1,60<= speedup < 90
8,1,speedup >= 90
9,1,speedup >= 90
10,1,speedup >= 90
11,1,speedup >= 90
12,1,speedup >= 90
13,1,speedup >= 90
14,1,speedup >= 90
15,1,speedup >= 90
16,1,speedup >= 90
17,1,speedup >= 90
18,1,speedup >= 90
19,1,speedup >= 90
20,1,speedup >= 90
1,2,16<= speedup <30
2,2,30<= speedup <60
3,2,30<= speedup <60
4,2,30<= speedup <60
5,2,60<= speedup < 90
6,2,60<= speedup < 90
7,2,60<= speedup < 90
8,2,speedup >= 90
9,2,speedup >= 90
10,2,speedup >= 90
11,2,speedup >= 90
12,2,speedup >= 90
13,2,speedup >= 90
14,2,speedup >= 90
15,2,speedup >= 90
16,2,speedup >= 90
17,2,speedup >= 90
18,2,speedup >= 90
19,2,speedup >= 90
20,2,speedup >= 90
1,3,16<= speedup <30
2,3,30<= speedup <60
3,3,30<= speedup <60
4,3,30<= speedup <60
5,3,30<= speedup <60
6,3,60<= speedup < 90
7,3,60<= speedup < 90
8,3,60<= speedup < 90
9,3,60<= speedup < 90
10,3,60<= speedup < 90
11,3,60<= speedup < 90
12,3,speedup >= 90
13,3,speedup >= 90
14,3,speedup >= 90
15,3,speedup >= 90
16,3,speedup >= 90
17,3,speedup >= 90
18,3,speedup >= 90
19,3,speedup >= 90
20,3,speedup >= 90
1,4,16<= speedup <30
2,4,30<= speedup <60
3,4,30<= speedup <60
4,4,30<= speedup <60
5,4,30<= speedup <60
6,4,60<= speedup < 90
7,4,60<= speedup < 90
8,4,60<= speedup < 90
9,4,60<= speedup < 90
10,4,60<= speedup < 90
11,4,speedup >= 90
12,4,speedup >= 90
13,4,speedup >= 90
14,4,speedup >= 90
15,4,speedup >= 90
16,4,speedup >= 90
17,4,speedup >= 90
18,4,speedup >= 90
19,4,speedup >= 90
20,4,speedup >= 90
1,5,16<= speedup <30
2,5,30<= speedup <60
3,5,30<= speedup <60
4,5,30<= speedup <60
5,5,30<= speedup <60
6,5,30<= speedup <60
7,5,60<= speedup < 90
8,5,60<= speedup < 90
9,5,60<= speedup < 90
10,5,60<= speedup < 90
11,5,60<= speedup < 90
12,5,speedup >= 90
13,5,speedup >= 90
14,5,speedup >= 90
15,5,speedup >= 90
16,5,speedup >= 90
17,5,speedup >= 90
18,5,speedup >= 90
19,5,speedup >= 90
20,5,speedup >= 90
