x,y,Speedup
1,1,10<= speedup < 12
2,1,10<= speedup < 12
3,1,10<= speedup < 12
4,1,10<= speedup < 12
5,1,10<= speedup < 12
6,1,10<= speedup < 12
7,1,10<= speedup < 12
8,1,10<= speedup < 12
9,1,10<= speedup < 12
10,1,10<= speedup < 12
11,1,10<= speedup < 12
12,1,10<= speedup < 12
13,1,10<= speedup < 12
14,1,10<= speedup < 12
15,1,10<= speedup < 12
16,1,10<= speedup < 12
17,1,10<= speedup < 12
18,1,10<= speedup < 12
19,1,12<= speedup < 16
20,1,10<= speedup < 12
1,2,10<= speedup < 12
2,2,10<= speedup < 12
3,2,10<= speedup < 12
4,2,10<= speedup < 12
5,2,10<= speedup < 12
6,2,10<= speedup < 12
7,2,10<= speedup < 12
8,2,10<= speedup < 12
9,2,10<= speedup < 12
10,2,10<= speedup < 12
11,2,10<= speedup < 12
12,2,10<= speedup < 12
13,2,10<= speedup < 12
14,2,10<= speedup < 12
15,2,10<= speedup < 12
16,2,10<= speedup < 12
17,2,12<= speedup < 16
18,2,12<= speedup < 16
19,2,12<= speedup < 16
20,2,12<= speedup < 16
1,3,10<= speedup < 12
2,3,10<= speedup < 12
3,3,10<= speedup < 12
4,3,10<= speedup < 12
5,3,10<= speedup < 12
6,3,10<= speedup < 12
7,3,10<= speedup < 12
8,3,10<= speedup < 12
9,3,10<= speedup < 12
10,3,10<= speedup < 12
11,3,10<= speedup < 12
12,3,10<= speedup < 12
13,3,12<= speedup < 16
14,3,12<= speedup < 16
15,3,12<= speedup < 16
16,3,12<= speedup < 16
17,3,12<= speedup < 16
18,3,12<= speedup < 16
19,3,12<= speedup < 16
20,3,12<= speedup < 16
1,4,10<= speedup < 12
2,4,10<= speedup < 12
3,4,10<= speedup < 12
4,4,12<= speedup < 16
5,4,12<= speedup < 16
6,4,12<= speedup < 16
7,4,12<= speedup < 16
8,4,12<= speedup < 16
9,4,12<= speedup < 16
10,4,12<= speedup < 16
11,4,12<= speedup < 16
12,4,12<= speedup < 16
13,4,12<= speedup < 16
14,4,12<= speedup < 16
15,4,12<= speedup < 16
16,4,12<= speedup < 16
17,4,12<= speedup < 16
18,4,12<= speedup < 16
19,4,12<= speedup < 16
20,4,12<= speedup < 16
1,5,10<= speedup < 12
2,5,10<= speedup < 12
3,5,10<= speedup < 12
4,5,12<= speedup < 16
5,5,12<= speedup < 16
6,5,12<= speedup < 16
7,5,12<= speedup < 16
8,5,12<= speedup < 16
9,5,12<= speedup < 16
10,5,12<= speedup < 16
11,5,12<= speedup < 16
12,5,12<= speedup < 16
13,5,10<= speedup < 12
14,5,12<= speedup < 16
15,5,10<= speedup < 12
16,5,12<= speedup < 16
17,5,12<= speedup < 16
18,5,12<= speedup < 16
19,5,12<= speedup < 16
20,5,12<= speedup < 16
