x,y,Speedup
1,1,1.3<= speedup <2
2,1,2<= speedup < 3
3,1,2<= speedup < 3
4,1,3<=speedup > 5
5,1,2<= speedup < 3
6,1,2<= speedup < 3
7,1,2<= speedup < 3
8,1,3<=speedup > 5
9,1,3<=speedup > 5
10,1,3<=speedup > 5
11,1,3<=speedup > 5
12,1,3<=speedup > 5
13,1,3<=speedup > 5
14,1,3<=speedup > 5
15,1,3<=speedup > 5
16,1,3<=speedup > 5
17,1,3<=speedup > 5
18,1,3<=speedup > 5
19,1,3<=speedup > 5
20,1,3<=speedup > 5
1,2,1.3<= speedup <2
2,2,2<= speedup < 3
3,2,2<= speedup < 3
4,2,2<= speedup < 3
5,2,2<= speedup < 3
6,2,2<= speedup < 3
7,2,2<= speedup < 3
8,2,2<= speedup < 3
9,2,3<=speedup > 5
10,2,3<=speedup > 5
11,2,3<=speedup > 5
12,2,3<=speedup > 5
13,2,3<=speedup > 5
14,2,3<=speedup > 5
15,2,3<=speedup > 5
16,2,3<=speedup > 5
17,2,3<=speedup > 5
18,2,3<=speedup > 5
19,2,3<=speedup > 5
20,2,3<=speedup > 5
1,3,1.3<= speedup <2
2,3,1.3<= speedup <2
3,3,2<= speedup < 3
4,3,2<= speedup < 3
5,3,2<= speedup < 3
6,3,2<= speedup < 3
7,3,2<= speedup < 3
8,3,3<=speedup > 5
9,3,3<=speedup > 5
10,3,3<=speedup > 5
11,3,2<= speedup < 3
12,3,3<=speedup > 5
13,3,3<=speedup > 5
14,3,3<=speedup > 5
15,3,3<=speedup > 5
16,3,3<=speedup > 5
17,3,3<=speedup > 5
18,3,3<=speedup > 5
19,3,3<=speedup > 5
20,3,3<=speedup > 5
1,4,1.3<= speedup <2
2,4,2<= speedup < 3
3,4,2<= speedup < 3
4,4,2<= speedup < 3
5,4,2<= speedup < 3
6,4,2<= speedup < 3
7,4,2<= speedup < 3
8,4,2<= speedup < 3
9,4,2<= speedup < 3
10,4,2<= speedup < 3
11,4,2<= speedup < 3
12,4,3<=speedup > 5
13,4,3<=speedup > 5
14,4,3<=speedup > 5
15,4,3<=speedup > 5
16,4,3<=speedup > 5
17,4,3<=speedup > 5
18,4,3<=speedup > 5
19,4,3<=speedup > 5
20,4,3<=speedup > 5
1,5,1.3<= speedup <2
2,5,1.3<= speedup <2
3,5,2<= speedup < 3
4,5,2<= speedup < 3
5,5,2<= speedup < 3
6,5,2<= speedup < 3
7,5,2<= speedup < 3
8,5,2<= speedup < 3
9,5,2<= speedup < 3
10,5,3<=speedup > 5
11,5,3<=speedup > 5
12,5,3<=speedup > 5
13,5,3<=speedup > 5
14,5,3<=speedup > 5
15,5,3<=speedup > 5
16,5,3<=speedup > 5
17,5,3<=speedup > 5
18,5,3<=speedup > 5
19,5,3<=speedup > 5
20,5,3<=speedup > 5
