PIPE,data1,data2,data3,SM-Q,SM-RW,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P1.15,M:Syn1,N:Syn2,,50.22,0.524,45.19060898,1.108075857,5.720770359,0.196486044,5.453827222,0.119018316,216.4095597,111.2507813,2.28E-02
P1.16,A:AL1,,,0.501,0.427,0.603017569,0.097666264,0,0,0,0,1.227876249,0.89447368,2.18E-02
P1.16,A:AL2,,,0.605,0.561,7.208508635,1.015823841,0,0,0,0,16.55556928,14.37038295,2.18E-02
P1.16,A:NL1,,,0.679,0.677,0.605640411,0.099078178,0,0,0,0,0,0,2.18E-02
P1.16,A:NL2,,,0.915,0.673,7.288128614,1.205093622,0,0,0,0,0,0,2.18E-02
P1.16,A:Syn3,,,0.985,0.533,0.914051294,0.099283218,0.351214886,0.349409103,0.964233557,0.507509693,10.10031414,1.531117454,2.18E-02
P1.16,A:Syn4,,,1.751,1.092,3.029275894,0.489454508,0.649409103,0.586066151,5.170013269,3.361507257,50.63423707,5.558672733,2.18E-02
P1.17,D:Syn5,C:Syn5,,0,0,128.3891771,58.32374191,10.01805997,7.6048522,0,0,21.08906808,13.79078345,2.22E-02
P1.18,A:AL1,,,0.636,0.57,0.500158215,0.077837687,0,0,0,0,1.529682775,1.096707132,2.22E-02
P1.18,A:AL2,,,0.655,0.578,1.450727749,0.847892094,0,0,0,0,15.33377053,13.30121391,2.22E-02
P1.18,A:NL1,,,0.687,0.615,0.515017653,0.086588156,0,0,0,0,0,0,2.22E-02
P1.18,A:NL2,,,0.61,0.592,1.543309689,0.98056078,0,0,0,0,0,0,2.22E-02
P1.18,A:Syn3,,,0.697,0.688,0.600473642,0.098284721,0.415658665,0.393669319,0.633547068,0.623955409,1.446073328,1.0161676,2.22E-02
P1.18,A:Syn4,,,0.63,0.626,1.913396502,0.89982605,0.715658665,0.693669319,3.88519311,3.32170105,6.702868869,5.023683651,2.22E-02
P1.25,M:AS,N:Syn2,,0.695,0.626,41.03537011,0.793884373,0,0,0,0,0,0,2.26E-02
P1.25,M:NS,N:Syn2,,0.981,0.895,40.78141141,0.813833094,0,0,0,0,0,0,2.26E-02
