PIPE,data1,data2,data3,SM-Q,SM-RW,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P1.2,A:AL1,B:Syn3,,1.191,0.58,1.734376192,1.058738708,0,0,0,0,26.10420637,3.204552529,2.34E-02
P1.2,A:AL2,B:AL2,,0.852,0.762,14.70135474,10.49915743,0,0,0,0,30.22551048,3.3048327,2.34E-02
P1.2,A:NL1,B:Syn3,,1.866,1.107,1.100413561,0.862024546,0,0,0,0,0,0,2.34E-02
P1.2,A:NL2,B:NL2,,0.897,0.68,16.70041704,12.21003795,0,0,0,0,0,0,2.34E-02
P1.2,A:Syn3,B:Syn3,,1.214,0.867,1.084206104,0.76307559,2.634226084,1.631801939,1.958594004,1.532479986,20.41275335,2.686306449,2.34E-02
P1.2,A:Syn4,B:Syn4,,10.338,2.624,7.832422256,5.924589396,9.111417055,7.109503984,10.51949469,8.627544006,136.1305984,33.51588308,2.34E-02
P1.6,D:Syn5,,,1.237,0.565,0.28943038,0.00298262,1.874924898,0.00417948,0.757570664,0.71797363,2.310408138,0.890576511,2.33E-02
P1.6,D:Syn6,,,1.816,0.568,2.122824907,0.01576662,2.425815582,0.01616955,2.808362007,2.81074659,9.666007017,7.236642596,2.33E-02
P1.8,A:AL1,B:Syn3,,0.984,0.506,0.868542671,0.26611352,0,0,0,0,0.232913554,0.01635775,2.81E-02
P1.8,A:AL2,B:AL2,,2.255,0.573,10.19326067,5.143104076,0,0,0,0,0.244852655,0.04455255,2.81E-02
P1.8,A:NL1,B:Syn3,,1.275,0.576,0.930680752,0.264594078,0,0,0,0,0,0,2.81E-02
P1.8,A:NL2,B:NL2,,3.727,0.565,10.25198245,4.569562197,0,0,0,0,0,0,2.81E-02
P1.8,A:Syn3,B:Syn3,,1.958,1.011,1.291434765,0.480255842,1.10800004,0.259009123,0.871020176,0.746640062,4.27136444,2.302056694,2.81E-02
P1.8,A:Syn4,B:Syn4,,4.623,1.976,4.318893909,1.852679968,3.526803017,0.623414803,4.194360018,3.674365759,29.16844315,19.7574109,2.81E-02
P1.9,D:Syn5,,,0,0,19.99480176,16.31330609,5.323414803,3.857285023,0,0,27.33453746,15.80831498,2.30E-02
P1.10,A:AL1,,,0.506,0.561,0.727080107,0.10272336,0,0,0,0,1.271371527,0.713518768,1.50E-02
P1.10,A:AL2,,,0.685,0.583,8.529935837,1.315910101,0,0,0,0,14.78212294,11.13367368,1.50E-02
P1.10,A:NL1,,,0.587,0.49,1.033158064,0.101557732,0,0,0,0,0,0,1.50E-02
P1.10,A:NL2,,,0.645,0.637,8.360487938,1.073086262,0,0,0,0,0,0,1.50E-02
P1.10,A:Syn3,,,0.747,0.675,1.033140182,0.101645947,1.072772026,0.726110935,1.011114995,0.654280901,9.98703081,1.422824953,1.50E-02
P1.10,A:Syn4,,,0.897,0.752,3.646126509,0.515710115,8.160350084,6.161810637,7.76813666,5.586939812,64.68897702,16.5281405,1.50E-02
P1.11,A:AL1,B:Syn3,,1.459,0.655,1.971524715,0.559734344,0,0,0,0,26.05740228,3.434276673,2.71E-02
P1.11,A:AL2,B:AL2,,0.681,0.502,15.90326381,5.56733346,0,0,0,0,47.32539985,39.08172484,2.71E-02
P1.11,A:NL1,B:Syn3,,1.635,0.618,1.932042599,0.560142994,0,0,0,0,0,0,2.71E-02
P1.11,A:NL2,B:NL2,,0.73,0.516,15.97304082,5.50532341,0,0,0,0,0,0,2.71E-02
P1.11,A:Syn3,B:Syn3,,1.913,0.693,1.900874472,0.526300287,0.738842964,0.486560011,1.300968885,0.807088614,25.42064403,3.234851316,2.71E-02
P1.11,A:Syn4,B:Syn4,,4.935,0.917,8.027139425,2.785095692,9.005086899,5.590022802,10.79381402,7.3487583,105.5964206,12.86875581,2.71E-02
P1.12,M:AS,N:Syn2,,0.923,0.634,22.3907876,0.614984369,0,0,0,0,0,0,2.43E-02
P1.12,M:NS,N:Syn2,,1.28,0.817,24.6101079,0.515046358,0,0,0,0,0,0,2.43E-02
P1.12,M:Syn1,N:Syn2,,65.828,0.821,24.47184896,0.515011072,6.982306004,0.50868988,0,0,0,0,2.43E-02
P1.14,M:AS,N:Syn2,,1.28,1.008,25.23011518,0.483574551,0,0,0,0,0,0,9.65E-02
P1.14,M:NS,N:Syn2,,1.513,0.913,26.18431258,0.615990496,0,0,0,0,0,0,9.65E-02
P1.15,M:AS,N:Syn2,,9.114,0.656,44.03067589,0.115499973,0,0,0,0,29.25427743,6.589513922,2.28E-02
