PIPE,data1,data2,data3,SM-Q,SM-RW,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P1.2,A:AL1,B:Syn3,,1.191,0.58,1.734376192,1.058738708,0,0,0,0,26.10420637,3.204552529,1.51E-01
P1.2,A:NL1,B:Syn3,,1.866,1.107,1.100413561,0.862024546,0,0,0,0,0,0,1.51E-01
P1.2,A:Syn3,B:Syn3,,1.214,0.867,1.084206104,0.76307559,2.634226084,1.631801939,1.958594004,1.532479986,20.41275335,2.686306449,1.06E-01
P1.6,D:Syn5,,,1.237,0.565,0.28943038,0.00298262,1.874924898,0.00417948,0.757570664,0.71797363,2.310408138,0.890576511,8.66E-03
P1.8,A:AL1,B:Syn3,,0.984,0.506,0.868542671,0.26611352,0,0,0,0,0.232913554,0.01635775,1.24E-01
P1.8,A:NL1,B:Syn3,,1.275,0.576,0.930680752,0.264594078,0,0,0,0,0,0,1.24E-01
P1.8,A:Syn3,B:Syn3,,1.958,1.011,1.291434765,0.480255842,1.10800004,0.259009123,0.871020176,0.746640062,4.27136444,2.302056694,1.24E-01
P1.9,D:Syn5,,,0,0,19.99480176,16.31330609,5.323414803,3.857285023,0,0,27.33453746,15.80831498,2.30E-02
P1.10,A:AL1,,,0.506,0.561,0.727080107,0.10272336,0,0,0,0,1.271371527,0.713518768,2.66E-02
P1.10,A:NL1,,,0.587,0.49,1.033158064,0.101557732,0,0,0,0,0,0,2.66E-02
P1.10,A:Syn3,,,0.747,0.675,1.033140182,0.101645947,1.072772026,0.726110935,1.011114995,0.654280901,9.98703081,1.422824953,2.66E-02
P1.11,A:AL1,B:Syn3,,1.459,0.655,1.971524715,0.559734344,0,0,0,0,26.05740228,3.434276673,1.45E-01
P1.11,A:NL1,B:Syn3,,1.635,0.618,1.932042599,0.560142994,0,0,0,0,0,0,1.45E-01
P1.11,A:Syn3,B:Syn3,,1.913,0.693,1.900874472,0.526300287,0.738842964,0.486560011,1.300968885,0.807088614,25.42064403,3.234851316,1.45E-01
P1.12,M:AS,N:Syn2,,0.923,0.634,22.3907876,0.614984369,0,0,0,0,0,0,1.75E-02
P1.12,M:NS,N:Syn2,,1.28,0.817,24.6101079,0.515046358,0,0,0,0,0,0,1.75E-02
P1.12,M:Syn1,N:Syn2,,65.828,0.821,24.47184896,0.515011072,6.982306004,0.50868988,0,0,0,0,1.75E-02
P1.14,M:AS,N:Syn2,,1.28,1.008,25.23011518,0.483574551,0,0,0,0,0,0,1.77E-01
P1.14,M:NS,N:Syn2,,1.513,0.913,26.18431258,0.615990496,0,0,0,0,0,0,1.77E-01
P1.15,M:AS,N:Syn2,,9.114,0.656,44.03067589,0.115499973,0,0,0,0,29.25427743,6.589513922,4.08E-02
P1.15,M:Syn1,N:Syn2,,50.22,0.524,45.19060898,1.108075857,5.720770359,0.196486044,5.453827222,0.119018316,216.4095597,111.2507813,4.08E-02
P1.16,A:AL1,,,0.501,0.427,0.603017569,0.097666264,0,0,0,0,1.227876249,0.89447368,2.42E-02
P1.16,A:NL1,,,0.679,0.677,0.605640411,0.099078178,0,0,0,0,0,0,2.42E-02
P1.16,A:Syn3,,,0.985,0.533,0.914051294,0.099283218,0.351214886,0.349409103,0.964233557,0.507509693,10.10031414,1.531117454,2.42E-02
P1.17,D:Syn5,C:Syn5,,0,0,128.3891771,58.32374191,10.01805997,7.6048522,0,0,21.08906808,13.79078345,3.97E-02
P1.18,A:AL1,,,0.636,0.57,0.500158215,0.077837687,0,0,0,0,1.529682775,1.096707132,1.84E-02
P1.18,A:NL1,,,0.687,0.615,0.515017653,0.086588156,0,0,0,0,0,0,1.84E-02
P1.18,A:Syn3,,,0.697,0.688,0.600473642,0.098284721,0.415658665,0.393669319,0.633547068,0.623955409,1.446073328,1.0161676,1.84E-02
P1.25,M:AS,N:Syn2,,0.695,0.626,41.03537011,0.793884373,0,0,0,0,0,0,4.04E-02
P1.25,M:NS,N:Syn2,,0.981,0.895,40.78141141,0.813833094,0,0,0,0,0,0,4.04E-02
