x,y,v
1,1,0.1%<= Overhead <0.3%
2,1,0.1%<= Overhead <0.3%
3,1,Overhead <0.1%
4,1,Overhead <0.1%
5,1,Overhead <0.1%
6,1,Overhead <0.1%
7,1,Overhead <0.1%
8,1,Overhead <0.1%
9,1,Overhead <0.1%
10,1,Overhead <0.1%
11,1,Overhead <0.1%
12,1,Overhead <0.1%
13,1,Overhead <0.1%
14,1,Overhead <0.1%
15,1,Overhead <0.1%
16,1,Overhead <0.1%
17,1,Overhead <0.1%
18,1,Overhead <0.1%
19,1,Overhead <0.1%
20,1,Overhead <0.1%
1,2,0.1%<= Overhead <0.3%
2,2,0.1%<= Overhead <0.3%
3,2,Overhead <0.1%
4,2,Overhead <0.1%
5,2,Overhead <0.1%
6,2,Overhead <0.1%
7,2,Overhead <0.1%
8,2,Overhead <0.1%
9,2,Overhead <0.1%
10,2,Overhead <0.1%
11,2,Overhead <0.1%
12,2,Overhead <0.1%
13,2,Overhead <0.1%
14,2,Overhead <0.1%
15,2,Overhead <0.1%
16,2,Overhead <0.1%
17,2,Overhead <0.1%
18,2,Overhead <0.1%
19,2,Overhead <0.1%
20,2,Overhead <0.1%
1,3,0.1%<= Overhead <0.3%
2,3,0.1%<= Overhead <0.3%
3,3,Overhead <0.1%
4,3,Overhead <0.1%
5,3,Overhead <0.1%
6,3,Overhead <0.1%
7,3,Overhead <0.1%
8,3,Overhead <0.1%
9,3,Overhead <0.1%
10,3,Overhead <0.1%
11,3,Overhead <0.1%
12,3,Overhead <0.1%
13,3,Overhead <0.1%
14,3,Overhead <0.1%
15,3,Overhead <0.1%
16,3,Overhead <0.1%
17,3,Overhead <0.1%
18,3,Overhead <0.1%
19,3,Overhead <0.1%
20,3,Overhead <0.1%
1,4,0.1%<= Overhead <0.3%
2,4,0.1%<= Overhead <0.3%
3,4,Overhead <0.1%
4,4,Overhead <0.1%
5,4,Overhead <0.1%
6,4,Overhead <0.1%
7,4,Overhead <0.1%
8,4,Overhead <0.1%
9,4,Overhead <0.1%
10,4,Overhead <0.1%
11,4,Overhead <0.1%
12,4,Overhead <0.1%
13,4,Overhead <0.1%
14,4,Overhead <0.1%
15,4,Overhead <0.1%
16,4,Overhead <0.1%
17,4,Overhead <0.1%
18,4,Overhead <0.1%
19,4,Overhead <0.1%
20,4,Overhead <0.1%
1,5,0.1%<= Overhead <0.3%
2,5,Overhead <0.1%
3,5,Overhead <0.1%
4,5,Overhead <0.1%
5,5,Overhead <0.1%
6,5,Overhead <0.1%
7,5,Overhead <0.1%
8,5,Overhead <0.1%
9,5,Overhead <0.1%
10,5,Overhead <0.1%
11,5,Overhead <0.1%
12,5,Overhead <0.1%
13,5,Overhead <0.1%
14,5,Overhead <0.1%
15,5,Overhead <0.1%
16,5,Overhead <0.1%
17,5,Overhead <0.1%
18,5,Overhead <0.1%
19,5,Overhead <0.1%
20,5,Overhead <0.1%
